# Источник: наш.дом.рф ЕИСЖС API /сервисы/api/kn/object + /сервисы/api/object/{id}, region place=18
# Собрано: 2026-07-08T06:56:30.529Z
# Всего домов: 118; с карточкой: 118
ID дома (objId),hobjId,№ разрешения (РС),ЖК,Адрес,Район/город,Застройщик,Группа компаний,ИНН застройщика,Этажность (мин),Этажность (макс),Материал стен,Класс жилья,Срок сдачи (план 100%),"Квартир, шт","Жилая площадь, м²","Распродано, %","Цена, ₽/м²",Цена на дату,Генподрядчик,Эскроу,Проблемный,Статус,Опубликован,Широта,Долгота,Есть карточка (1/0)
65101,146271,18-000740,Город оружейников. Жилой дом № 26,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,198,8429,57.8,138064,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8682,53.3187,1
65102,146272,18-000740,Город оружейников. Жилой дом № 27,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,81,3827.1,36.8,142675,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8692,53.3188,1
65103,146273,18-000740,Город оружейников. Жилой дом № 28,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,89,4194,58.7,145354,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8683,53.3195,1
65104,146274,18-000740,Город оружейников. Жилой дом № 29,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,81,3826.2,32.8,140822,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8691,53.3198,1
65105,146275,18-000740,Город оружейников. Жилой дом № 30,Село Первомайский,Завьялово,КС СЕЗАНН СЗ,КОМОССТРОЙ,1831191300,11,11,Монолит-кирпич,Комфорт,2027-06-30,316,13025.2,30.4,139417,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-03-27,56.8685,53.3199,1
64643,145808,18-000716,ДОМ на Герцена,"Город Ижевск, Улица Герцена",Ижевск,СЗ ВОСТОЧНЫЙ КВАРТАЛ,Парус,1840070220,19,19,Монолит-кирпич,Комфорт,2027-12-31,115,5118.2,32.3,117436,2026-05-01,ООО СТРОИТЕЛЬНЫЕ ГОРИЗОНТЫ (ИНН: 1800017365),да,нет,Строящиеся,2025-02-24,56.8532,53.2523,1
61180,141994,18-000716,ДОМ на Герцена,"Город Ижевск, Улица Герцена",Ижевск,СЗ ВОСТОЧНЫЙ КВАРТАЛ,Парус,1840070220,1,18,Монолит-кирпич,Комфорт,2027-06-30,167,9272.6,32.3,108811,2026-05-01,ООО СТРОИТЕЛЬНЫЕ ГОРИЗОНТЫ (ИНН: 1800017365),да,нет,Строящиеся,2024-07-29,56.8532,53.2519,1
66142,147320,18-000751,ДОММ,"Город Ижевск, Улица Максима Горького",Ижевск,СЗ ВР-ИНВЕСТ,,1831201413,7,7,Монолит-кирпич,Элитный,2026-12-31,22,1746.6,14.0,281000,2025-10-01,"ООО ""ДОБРОСТРОЙ"" (ИНН: 1840009402)",да,нет,Строящиеся,2025-06-02,56.8549,53.1962,1
68560,149926,18-000764,Дом Природы,"Город Ижевск, Улица Якшур-Бодьинский тракт",Ижевск,СЗ КВАРТАЛ,,1831201942,18,18,Монолит-кирпич,Комфорт,2028-06-30,148,8232.56,22.5,146161,2026-05-01,ООО Премиум (ИНН: 1832157982),да,нет,Строящиеся,2025-10-27,56.8781,53.1703,1
70370,151800,18-000776,Дом на Песочной,"Город Ижевск, Улица Песочная",Ижевск,КС ВЫСОТА СЗ,КОМОССТРОЙ,1831157281,14,16,Другое,Бизнес,2029-12-31,194,10627.6,1.0,202482,2026-06-01,ООО СУ-18 (ИНН: 1831137937),да,нет,Строящиеся,2026-02-16,56.8715,53.1675,1
65159,146329,18-000741,Ежевика. Жилой дом № 10,"Город Ижевск, Улица Васнецова",Ижевск,КОМОССТРОЙ ОЛИМП СЗ,КОМОССТРОЙ,1831194100,15,17,Монолит-кирпич,Комфорт,2028-09-30,381,18414.9,15.9,142587,2026-06-01,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2025-04-01,56.8689,53.2687,1
62999,143887,18-000725,"ЖД ""Гравитация""","Город Ижевск, Улица Серова",Ижевск,СЗ ЮЖНАЯ,Зардон-групп,1833055334,25,25,Монолит-кирпич,Комфорт,2027-06-30,265,12495.09,43.2,128802,2026-05-01,"ООО ""Профстрой"" (ИНН: 1800029843)",да,нет,Строящиеся,2024-10-29,56.8638,53.2404,1
66926,148153,18-000755,"ЖК ""Достоевский""",Город Воткинск,Воткинск,СЗ СТС,,1841085332,4,4,Кирпич,Типовой,2026-09-30,48,2403.52,34.1,114834,2026-06-01,"ООО Строительная компания ""ДомМастер"" (ИНН: 1840033941)",да,нет,Строящиеся,2025-08-01,57.0706,54.022,1
65006,146176,18-000739,"ЖК ""Достоевский""","Город Воткинск, Район Нефтяник",Воткинск,СЗ СТС,,1841085332,4,4,Кирпич,Типовой,2026-09-30,24,1198.67,38.6,137408,2026-04-01,"ООО Строительная компания ""ДомМастер"" (ИНН: 1840033941)",да,нет,Строящиеся,2025-03-20,57.0705,54.0227,1
71876,153309,18-000786,"ЖК ""Индустриальный""",Город Ижевск,Ижевск,РЕГИОНСТРОЙ,,1841078399,5,5,Монолит-кирпич,Типовой,2026-12-31,20,714.4,,,,,да,нет,Строящиеся,2026-05-26,56.888,53.2573,1
64962,146131,18-000738,"ЖК ""Истории"", Жилые дома№ 7,8",Город Ижевск,Ижевск,КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,1831200339,1,18,Монолит-кирпич,Комфорт,2028-09-30,320,15587,29.5,162685,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-03-18,56.8746,53.1971,1
66148,147327,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,2,19,Монолит-кирпич,Типовой,2027-06-30,186,9203.2,29.1,108333,2026-06-01,ООО Ижстройэксперт (ИНН: 1800035188),да,нет,Строящиеся,2025-06-02,56.7943,53.1763,1
66149,147328,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,1,18,Монолит-кирпич,Типовой,2028-06-30,180,8919.8,14.4,110496,2026-06-01,,да,нет,Строящиеся,2025-06-02,56.7933,53.1761,1
66150,147329,18-000752,"ЖК ""Локомотив""",Город Ижевск,Ижевск,СЗ СИТИСТРОЙ,,1800017654,2,18,Монолит-кирпич,Типовой,2029-06-30,181,8862.5,,,,,да,нет,Строящиеся,2025-06-02,56.7937,53.176,1
68682,150048,18-000765,"ЖК ""Малиновка""","Город Ижевск, Улица Джамбула",Ижевск,СЗ ДРГ - ТВЕРСКАЯ,,1800033127,18,18,Монолит-кирпич,Типовой,2028-03-31,673,26496.42,3.4,124893,2026-05-01,"ООО СК ""Добрострой"" (ИНН: 1800001439)",да,нет,Строящиеся,2025-11-05,56.8485,53.1116,1
68274,149630,18-000762,"ЖК ""Министр""","Город Ижевск, Улица Комсомольская",Ижевск,СЗ ОРДЖОНИКИДЗЕ,Федерация,1800018601,1,18,Монолит-кирпич,Комфорт,2028-06-30,143,8619.1,44.5,136487,2026-06-01,"ООО ""ПС-Групп"" (ИНН: 1650274667)",да,нет,Строящиеся,2025-10-13,56.8308,53.229,1
55096,135785,18-000632,"ЖК ""Мюнхен"" Жилой комплекс ""Мюнхен""","Город Ижевск, Улица Героя России Ильфата Закирова",Ижевск,СЗ АИР-СТРОЙ,,1840105000,3,18,Монолит-кирпич,Комфорт,2026-09-30,246,12625.3,42.8,127623,2026-05-01,"ООО Строительная компания ""ЭПЛАС"" (ИНН: 1840089084)",да,нет,Строящиеся,2023-10-23,56.8394,53.2865,1
68338,149694,18-000763,"ЖК ""Новые истории""","Город Глазов, Улица",Глазов,СЗ НАМУС,,1800037266,10,15,Монолит-кирпич,Комфорт,2028-09-30,296,13160.63,24.3,107724,2026-06-01,ООО СК Ремстрой (ИНН: 1840094768),да,нет,Строящиеся,2025-10-16,58.1338,52.6925,1
71413,152845,18-000781,"ЖК ""Оливия"" дом №2","Город Ижевск, Улица Баранова",Ижевск,СЗ ХОЛМЫ-2,Зардон-групп,1831157316,19,19,Монолит-кирпич,Комфорт,2028-12-31,196,9827.4,0.6,110676,2026-05-01,"ООО ""Профстрой"" (ИНН: 1800029843)",да,нет,Строящиеся,2026-04-17,56.8341,53.1304,1
57907,138645,18-000645,"ЖК ""Онегин"" 1 этап строительства","Город Ижевск, ул",Ижевск,СЗ МЕТАЛЛУРГ-5,УК СТИМ,1659197696,17,18,Монолит-кирпич,Комфорт,2026-09-30,185,9205.14,48.6,147579,2026-05-01,"ООО ""СБ-СТРОЙ"" (ИНН: 1800011532)",да,нет,Строящиеся,2024-02-22,56.853,53.2697,1
57908,138646,18-000645,"ЖК ""Онегин"" 2 этап строительства","Город Ижевск, ул",Ижевск,СЗ МЕТАЛЛУРГ-5,УК СТИМ,1659197696,18,18,Монолит-кирпич,Комфорт,2028-03-31,218,8605.25,,,,"ООО ""СБ-СТРОЙ"" (ИНН: 1800011532)",да,нет,Строящиеся,2024-02-22,56.8529,53.2687,1
65277,146448,18-000736,"ЖК ""Орловский""","Город Глазов, Улица Пехтина, д. 17, блок-секция 1",Глазов,ФИНИСТ ГРУПП,СТРОЙ-ЦЕНТР,1837011257,11,11,Кирпич,Комфорт,2027-03-31,81,4343.9,28.6,111787,2026-06-01,ООО Строй-центр (ИНН: 1829014889),да,нет,Строящиеся,2025-04-07,58.1323,52.691,1
65278,146449,18-000736,"ЖК ""Орловский""","Город Глазов, Улица Пехтина, д. 17, блок-секция 3",Глазов,ФИНИСТ ГРУПП,СТРОЙ-ЦЕНТР,1837011257,11,11,Кирпич,Комфорт,2027-12-31,45,2750.8,,,,ООО Строй-центр (ИНН: 1829014889),да,нет,Строящиеся,2025-04-07,58.1325,52.6917,1
71380,152812,18-000780,"ЖК ""Остров впечатлений""","Город Сарапул, Улица Труда",Сарапул,СЗ СТРОИМ ВМЕСТЕ ГОРОД,,1800031391,6,9,Монолит-кирпич,Комфорт,2028-03-31,162,8702.5,3.7,117772,2026-06-01,"ООО СК ""СВ-Строй"" (ИНН: 1800011966)",да,нет,Строящиеся,2026-04-14,56.468,53.822,1
63155,144087,18-000726,"ЖК ""Персона""","Город Ижевск, ул Красногорская",Ижевск,СЗ КАМБАРСКАЯ,Федерация,1800013970,19,20,Монолит-кирпич,Комфорт,2026-09-30,169,11418.32,25.2,114091,2026-06-01,ООО ПС-групп (ИНН: 1650274667),да,нет,Строящиеся,2024-11-07,56.835,53.283,1
54320,134963,18-000629,"ЖК ""РИО"" ДОМ1 и ДОМ2","Город Ижевск, Улица Магистральная",Ижевск,СЗ КАЛИНКА ФЭМИЛИ,Калинка Групп,1831204534,18,18,Монолит-кирпич,Типовой,2027-12-31,220,8703.8,42.2,137448,2026-06-01,"ООО ""Альфастрой"" (ИНН: 1840096532)",да,нет,Строящиеся,2023-09-18,56.8192,53.2107,1
61491,142334,18-000718,"ЖК ""Сенатор""","город Ижевск, ул Воровского",Ижевск,"СЗ ВОРОВСКОГО, 44",Федерация,1800012448,18,18,Монолит-кирпич,Комфорт,2027-03-31,431,20618.4,30.5,119576,2026-06-01,ООО ПС-групп (ИНН: 1650274667),да,нет,Строящиеся,2024-08-16,56.8313,53.2367,1
65306,146480,18-000644,"ЖК ""Соседи"" 3-ий дом 3 секция","Город Ижевск, Улица Леваневского",Ижевск,"СЗ ДРГ-ДОМ.СТРОЙ, ООО СЗ ДРГ-ДОМ.СТРОЙ",,1832160872,1,17,Монолит-кирпич,Комфорт,2027-12-31,144,6675.7,19.1,121836,2026-05-01,"ООО СК ""Добрострой"" (ИНН: 1800001439)",да,нет,Строящиеся,2025-04-10,56.8053,53.1844,1
68268,149624,18-000761,"ЖК ""Фамильный дом"". Жилой дом 2","Город Ижевск, Улица Кунгурцева Е.М.",Ижевск,СЗ РЕНТЕК К-4,РЕНТЕК,1841088407,11,18,Монолит-кирпич,Комфорт,2028-06-30,275,13448.65,8.3,126053,2026-05-01,ООО РЕНТЕК СТРОЙ (ИНН: 1835054833),да,нет,Строящиеся,2025-10-10,56.8942,53.2613,1
60037,140808,18-000677,"ЖК ""Фамильный дом"". Жилой дом 3","Город Ижевск, Улица Кунгурцева Е.М.",Ижевск,СЗ РЕНТЕК К-4,РЕНТЕК,1841088407,11,18,Монолит-кирпич,Комфорт,2028-03-31,199,9994.6,21.2,103933,2024-06-01,,да,нет,Строящиеся,2024-06-07,56.8946,53.264,1
38192,118593,18-000457,ЖК «Парус Кортен»,"Город Ижевск, ул Пушкинская",Ижевск,СЗ ПАРУС ЮГ,UDS,1831194893,11,11,Монолит-кирпич,Бизнес,2026-09-30,0,0,,,,"ООО Строительная компания""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2020-12-22,56.8656,53.2072,1
66252,147432,18-000753,ЖК Арден на Ворошилова,Город Ижевск,Ижевск,СЗ ТОР,,1840106212,18,18,Монолит-кирпич,Комфорт,2027-12-31,160,6545.61,64.4,152064,2026-06-01,"ООО ""СК Ремстрой"" (ИНН: 1840094768)",да,нет,Строящиеся,2025-06-10,56.8765,53.2674,1
68844,150242,18-000768,ЖК Арден на Орджоникидзе ,"Город Ижевск, Улица Гольянский посёлок",Ижевск,СЗ ВЫСОТА,,1800040124,2,18,Монолит-кирпич,Комфорт,2028-06-30,169,8198.92,20.5,151413,2026-06-01,"ООО ""СК Ремстрой"" (ИНН: 1840094768)",да,нет,Строящиеся,2025-11-17,56.8362,53.2452,1
69253,150652,18-000771,ЖК Арден на Селтинской,"Город Ижевск, ул Луначарского",Ижевск,СЗ ЭЛЛИПССТРОЙ,,1841093686,18,18,Монолит-кирпич,Комфорт,2028-06-30,401,17024.72,10.7,131951,2026-06-01,ООО СК Ремстрой (ИНН: 1840094768),да,нет,Строящиеся,2025-12-08,56.8335,53.1383,1
69770,151187,18-000774,ЖК Капитан,"Город Сарапул, Улица Матросова",Сарапул,СЗ СОЮЗ,,1800016763,10,10,Монолит-кирпич,Комфорт,2028-12-31,119,5109.3,23.2,68124,2026-06-01,ООО А-Групп (ИНН: 1832155819),да,нет,Строящиеся,2026-01-14,56.4447,53.7707,1
69769,151186,18-000774,ЖК Капитан,"Город Сарапул, Улица Матросова",Сарапул,СЗ СОЮЗ,,1800016763,10,10,Монолит-кирпич,Комфорт,2028-12-31,108,4647,17.7,110919,2026-06-01,ООО А-Групп (ИНН: 1832155819),да,нет,Строящиеся,2026-01-14,56.4447,53.7707,1
68835,150233,18-000767,ЖК Квартал на Горького,"Город Ижевск, Улица Красная",Ижевск,СЗ ГРИБОЕДОВ,UDS,1840070407,7,7,Кирпич,Комфорт,2028-06-30,25,1232.91,6.2,186007,2026-04-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2025-11-17,56.8397,53.2019,1
68836,150234,18-000767,ЖК Квартал на Горького,"Город Ижевск, Улица Красная",Ижевск,СЗ ГРИБОЕДОВ,UDS,1840070407,1,18,Кирпич,Комфорт,2028-06-30,122,6839.89,5.9,171612,2026-05-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2025-11-17,56.8397,53.2019,1
68834,150232,18-000767,ЖК Квартал на Горького,"Город Ижевск, Улица Красная",Ижевск,СЗ ГРИБОЕДОВ,UDS,1840070407,7,7,Кирпич,Комфорт,2028-06-30,25,1153.26,3.2,173679,2026-04-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2025-11-17,56.8397,53.2018,1
53547,134219,18-000624,ЖК Кислород. Жилой дом №4 секции 7-8. г.,"Город Ижевск, ш",Ижевск,СЗ РЕНТЕК ЗАЛЕСНЫЙ,РЕНТЕК,1831096127,9,9,Монолит-кирпич,Комфорт,2030-12-31,56,3691.2,4.5,100000,2024-04-01,,да,нет,Строящиеся,2023-08-04,56.8968,53.2506,1
62059,142943,18-000722,ЖК Краски леса жилой дом 2,"Город Ижевск, Улица Воткинское шоссе, д. 47",Ижевск,СЗ ОЗОН,,1831202618,18,18,Монолит-кирпич,Типовой,2027-09-30,251,9163.4,38.4,126077,2026-05-01,"ООО СК ""Добрострой"" (ИНН: 1800001439)",да,нет,Строящиеся,2024-09-16,56.8979,53.2483,1
62062,142946,18-000723,ЖК Краски леса жилой дом 3,"Город Ижевск, Улица Воткинское шоссе, д. 47",Ижевск,СЗ ОЗОН,,1831202618,18,18,Монолит-кирпич,Типовой,2028-06-30,210,9427.13,,,,"ООО СК ""Добрострой"" (ИНН: 1800001439)",да,нет,Строящиеся,2024-09-16,56.8978,53.2482,1
57943,138681,18-000646,ЖК Крылья дом 1,"Город Ижевск, Улица Камбарская",Ижевск,СЗ ПЕТРОВА-1,Зардон-групп,1831157235,12,20,Монолит-кирпич,Комфорт,2027-03-31,338,15905.8,48.9,120956,2026-05-01,"ООО Стройгрупп (ИНН: 1841079554), ООО Капитал (ИНН: 9724155534)",да,нет,Строящиеся,2024-02-26,56.8395,53.2927,1
57944,138682,18-000646,ЖК Крылья дом 2,"Город Ижевск, Улица Камбарская",Ижевск,СЗ ПЕТРОВА-1,Зардон-групп,1831157235,12,20,Монолит-кирпич,Комфорт,2028-09-30,286,14871.4,15.5,112190,2026-05-01,ООО ПРОФСТРОЙ (ИНН: 1800029843),да,нет,Строящиеся,2024-02-26,56.8395,53.2927,1
71560,152992,18-000784,ЖК Покровский,Город Ижевск,Ижевск,КС ВАГНЕР СЗ,КОМОССТРОЙ,1831189808,11,18,Блоки,Комфорт,2029-09-30,423,20658.4,,,,ООО ГЛАВСПЕЦСТРОЙ (ИНН: 1831128756),да,нет,Строящиеся,2026-04-29,56.8736,53.242,1
67333,148598,18-000758,ЖК Покровский,Город Ижевск,Ижевск,КС ПАСКАЛЬ СЗ,КОМОССТРОЙ,1831157080,10,18,Монолит-кирпич,Комфорт,2028-09-30,358,16835.9,36.9,139048,2026-06-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2025-08-27,56.8737,53.2461,1
63947,145014,18-000713,ЖК Пять континентов,Город Ижевск,Ижевск,СЗ КОНТИНЕНТ,UDS,1831185257,2,26,Другое,Бизнес,2028-09-30,145,7618,7.8,211853,2026-05-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2024-12-18,56.8613,53.2035,1
60835,141608,18-000713,ЖК Пять континентов,"Город Ижевск, район Октябрьский",Ижевск,СЗ КОНТИНЕНТ,UDS,1831185257,2,15,Монолит-кирпич,Бизнес,2027-09-30,137,8928.6,27.5,156089,2026-05-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2024-07-10,56.862,53.2032,1
51149,131803,18-000611,ЖК Республика,Город Ижевск,Ижевск,КС ЭКСТРА СЗ,КОМОССТРОЙ,1833031083,10,24,Другое,Бизнес,2027-12-31,326,21539.3,32.8,213750,2026-05-01,"ООО ""ГЛАВСПЕЦСТРОЙ"" (ИНН: 1831128756)",да,нет,Строящиеся,2023-03-30,56.8518,53.2018,1
58916,139654,18-000670,"ЖК Речной парк, дом 2","Город Ижевск, Улица Клубная",Ижевск,СЗ КВАРТАЛ,UDS,1832100680,4,25,Монолит-кирпич,Комфорт,2026-12-31,356,17954.2,65.1,122412,2026-05-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2024-04-12,56.8306,53.153,1
53858,134526,18-000625,ЖК ЭКО Лайф Весна,"Город Ижевск, ул Карла Маркса",Ижевск,СЗ ИСК УРАЛДОМСТРОЙ,UDS,1832121908,4,26,Монолит-кирпич,Бизнес,2026-09-30,183,11810.68,56.1,169752,2026-05-01,"ООО Строительная компания ""Континент"" (ИНН: 1831191469)",да,нет,Строящиеся,2023-08-28,56.8667,53.2023,1
44418,125015,18-000522,ЖК ЭКО Лайф Весна,"Город Ижевск, район Октябрьский, Улица Карла Маркса",Ижевск,СЗ ЭКОЛАЙФ,UDS,1831176358,2,2,Монолит-кирпич,Комфорт,2026-12-31,0,0,,,,,да,нет,Строящиеся,2021-12-29,56.8669,53.2029,1
68726,150107,18-000766,"Жилой Комплекс ""Прага"". Дом №1","Город Ижевск, Улица Комсомольская",Ижевск,СЗ КАЛИНКА ПАРТНЕР,,1831204703,18,18,Монолит-кирпич,Комфорт,2028-06-30,208,8083.5,19.3,144399,2026-06-01,ООО Альфастрой (ИНН: 1840096532),да,нет,Строящиеся,2025-11-10,56.8318,53.2288,1
