# Введённые в эксплуатацию дома УР, ввод 2024-01..2026-07 (ЕИСЖС objStatus=2, собрано 22.07.2026 через Chrome)
objId,ЖК,Адрес,Застройщик,Группа,Квартир,Жил.площадь,Этажей,Дата ввода,Цена ₽/м² (посл.)
42635,Утро на Репина.Жилой дом 1,"г. Ижевск, ул им Репина",КАНТ СЗ,КОМОССТРОЙ,197,10742.4,18,2024-11-01,96444
40728,"ЖК""Холмогоровский-4""","г. Ижевск, ул Новая Восьмая",КС ХОЛМОГОРОВСКИЙ СЗ,КОМОССТРОЙ,152,8460.6,18,2024-11-15,96171
40727,"ЖК""Холмогоровский-4""","г. Ижевск, ул Новая Восьмая",КС ХОЛМОГОРОВСКИЙ СЗ,КОМОССТРОЙ,438,24529.6,18,2024-11-15,102527
48076,Мой Зенит,"г. Ижевск, ул Советская",КОМОССТРОЙ ШУБЕРТ СЗ,КОМОССТРОЙ,105,5444,17,2024-11-20,135274
48075,Мой Зенит,"г. Ижевск, ул Советская",КОМОССТРОЙ ШУБЕРТ СЗ,КОМОССТРОЙ,69,4179.3,16,2024-11-20,114891
52828,"Жилой комплекс ""ZNAK город будущего ""","с. Первомайский, улица Строителя Николая Шишкина",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,169,10512.9,9,2024-11-27,107064
54360,ЖК НА САДОВОЙ,"г. Можга, Улица Наговицына",СЗ СТРОИТЕЛЬ,,153,8283,10,2024-12-11,70990
44238,"""Новый город"", ""Шестой квартал""","г. Ижевск, ул Фруктовая",ЛИДЕР,Острова,400,22555.6,17,2024-12-11,141776
48691,ЖК КЛЮЧЕВОЙ ПОСЕЛОК 83А,"г. Ижевск, Улица Ключевой посёлок",СЗ КУБСТРОЙ,КОМОССТРОЙ,180,8987.5,18,2024-12-16,119969
31944,ЖК «ЕЛКИ» 3 дом ЖК Ёлки,"г. Ижевск, Улица Им Конструктора Калашникова М.Т.",УДС-СИТИ,UDS,213,10152.6,17,2024-12-19,125618
53911,"Жилой комплекс ""ZNAK город будущего ""","с. Первомайский, ул Строителя Николая Шишкина",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,141,8672.83,9,2024-12-25,104771
53054,"Жилой комплекс ""ZNAK город будущего ""","с. Первомайский, ул Строителя Николая Шишкина",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,176,11096.05,9,2024-12-25,114814
45341,РЕГАРД жилой квартал,"г. Ижевск, ш Воткинское","СЗ ТВЕРСКАЯ, 51",,213,12416.8,26,2024-12-25,99970
51260,"Эко-квартал ""Forest"" дом 5","г. Ижевск, ул 40 лет Победы",СЗ АСПЭК-М,АСПЭК-Домстрой,118,6353.7,18,2024-12-26,106923
51035,ЖК Квартал на Горького,"г. Ижевск, Улица Максима Горького",СЗ ГРИБОЕДОВ,UDS,63,3276.05,11,2024-12-26,141248
49723,Город оружейников.Жилой дом 18,Село Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,84,3959,11,2024-12-26,112312
49721,Город оружейников. Жилой дом 16,Село Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,84,3959,11,2024-12-26,98586
47491,Норвежский лес,"г. Ижевск, ул Ворошилова",КОМОССТРОЙ ПАМИР СЗ,КОМОССТРОЙ,160,8201.2,18,2024-12-26,114106
47490,Норвежский лес,"г. Ижевск, ул Ворошилова",КОМОССТРОЙ ПАМИР СЗ,КОМОССТРОЙ,160,8201.2,18,2024-12-26,107448
50508,"Жилой комплекс ""Неон Сити"" д.5","г. Ижевск, Улица Васнецова",СЗ СТРОИТЕЛЬ,УК СТИМ,247,7311.74,18,2024-12-27,119953
46232,"Дом большого города ""Монблан""",г. Ижевск,СЗ КОНКОРД,Символ Девелопмент,149,9125.9,18,2024-12-27,145573
61176,,"г. Глазов, Улица Калинина",ФИНИСТ ГРУПП,СТРОЙ-ЦЕНТР,84,4124.86,16,2025-01-27,105119
47797,ЖК ТАЛИСМАН,г. Ижевск,СЗ ТАЛИСМАН,Федерация,266,16279,18,2025-01-29,113359
45692,"ЖК ""Фамильный дом"". Жилой дом 1","г. Ижевск, Улица Кунгурцева Е.М",СЗ РЕНТЕК К-4,РЕНТЕК,274,12994.25,18,2025-02-11,124909
51043,ЖК Речной парк-дом 3,"г. Ижевск, Улица Клубная",СЗ РЕЧНОЙ ПАРК,UDS,108,4930.4,10,2025-02-27,100338
50667,РЕГАРД жилой квартал,"г. Ижевск, Улица Воткинское шоссе","СЗ ТВЕРСКАЯ, 51",,323,15320.23,18,2025-02-27,153581
44494,"ЖК ""Времена года"" Дом 2 ""Лето красное""","г. Ижевск, район Ленинский",СЗ ХОЛМЫ-2,Зардон-групп,323,12810.15,19,2025-03-06,96023
47073,"ЖК ""Друзья"". Этап 3 - секция 3",г. Ижевск,СЗ РЕНТЕК К-5,РЕНТЕК,216,8276.9,26,2025-03-10,122663
46758,"ЖК ""Друзья"". Этап 2, секция 2",г. Ижевск,СЗ РЕНТЕК К-5,РЕНТЕК,168,7378.1,26,2025-03-10,150569
49032,"Парк-квартал ""Атмосфера""",г. Ижевск,СЗ РЕСУРС-БИЛДИНГ,Талан,106,5793.5,14,2025-03-24,108461
49031,"Парк-квартал ""Атмосфера""","г. Ижевск, ул Новая Восьмая",СЗ РЕСУРС-БИЛДИНГ,Талан,188,11626.2,18,2025-03-24,97606
61731,Чекерил Village,"г. Ижевск, Улица Загорская",СЗ АЭРОПЛАН СИТИ,Аэроплан,1,101.7,2,2025-03-26,86642
61730,Чекерил Village,"г. Ижевск, Улица Загорская",СЗ АЭРОПЛАН СИТИ,Аэроплан,1,115.3,2,2025-03-26,
61729,Чекерил Village,"г. Ижевск, Улица Загорская",СЗ АЭРОПЛАН СИТИ,Аэроплан,1,118.5,2,2025-03-26,
