"# Ключевая ставка ЦБ РФ, точки изменения; источник cbr.ru/hd_base/keyrate/; собрано 2026-07-08"
Действует с,Ставка %
03.01.2024,"16,00"
29.07.2024,"18,00"
16.09.2024,"19,00"
28.10.2024,"21,00"
09.06.2025,"20,00"
28.07.2025,"18,00"
15.09.2025,"17,00"
27.10.2025,"16,50"
22.12.2025,"16,00"
16.02.2026,"15,50"
23.03.2026,"15,00"
27.04.2026,"14,50"
22.06.2026,"14,25"
